

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1425.415  003.086  003.086: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-bufkill/plugin/bufkill.vim
1425.921  000.226  000.226: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-characterize.git/plugin/characterize.vim
1426.583  000.386  000.386: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-choosewin/plugin/choosewin.vim
1427.314  000.488  000.488: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-commentary/plugin/commentary.vim
1427.888  000.323  000.323: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-devdocs/plugin/devdocs.vim
1428.752  000.613  000.613: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-ditto/plugin/ditto.vim
1429.035  000.049  000.049: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-ebnf/ftdetect/ebnf.vim
1429.540  000.285  000.285: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-editorconfig/plugin/editorconfig.vim
1429.738  000.051  000.051: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-editorconfig/ftdetect/editorconfig.vim
1431.247  001.298  001.298: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-eunuch/plugin/eunuch.vim
1432.726  001.180  001.180: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-exchange/plugin/exchange.vim
1434.266  000.368  000.368: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-filetype-formatter/autoload/filetype_formatter/ft.vim
1434.397  001.385  001.018: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-filetype-formatter/plugin/filetype_formatter.vim
1437.075  002.485  002.485: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-fugitive/plugin/fugitive.vim
1437.235  000.033  000.033: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-fugitive/ftdetect/fugitive.vim
1437.445  000.048  000.048: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-fzf-coauthorship/plugin/vim-fzf-coauthorship.vim
1437.641  000.031  000.031: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-gdscript3/ftdetect/gdscript3.vim
1437.717  000.030  000.030: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-gdscript3/ftdetect/gsl.vim
1439.250  000.776  000.776: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-go/autoload/go/config.vim
1441.012  000.689  000.689: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-go/autoload/go/util.vim
1441.083  003.227  001.762: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-go/plugin/go.vim
1441.868  000.608  000.608: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-go/ftdetect/gofiletype.vim
1442.158  000.066  000.066: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-graphql/ftdetect/graphql.vim
1443.255  000.884  000.884: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-inccomplete/plugin/inccomplete.vim
1444.023  000.592  000.592: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-indexed-search/plugin/indexed-search.vim
1444.211  000.030  000.030: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-javascript/ftdetect/flow.vim
1444.368  000.116  000.116: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-javascript/ftdetect/javascript.vim
1444.594  000.065  000.065: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-json/ftdetect/json.vim
